Tempo,Pulsos Encoder Motor,Posição Angular do Motor [graus],Posição Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder Pêndulo,Posição Angular Pêndulo em [graus],Posição Angular Pêndulo [rad],Velocidade Angular do Pêndulo [rad/s]
6.35,424.0,76.32,0.33,0.0,-234.0,-280.8,-1.33,85.33
6.42,425.0,76.5,0.33,0.0,-231.0,-277.2,-1.33,86.5
6.48,425.0,76.5,0.33,0.0,-229.0,-274.8,-1.33,87.0
6.54,424.0,76.32,0.33,0.0,-229.0,-274.8,-1.5,86.5
6.6,424.0,76.32,0.33,0.0,-229.0,-274.8,-1.5,86.0
6.66,423.0,76.14,0.33,0.0,-230.0,-276.0,-1.33,84.83
6.72,422.0,75.96,0.33,0.0,-230.0,-276.0,-1.33,84.33
6.78,422.0,75.96,0.33,0.0,-231.0,-277.2,-1.33,84.33
6.84,422.0,75.96,0.33,0.0,-231.0,-277.2,-1.33,84.33
6.91,422.0,75.96,0.33,0.0,-230.0,-276.0,-1.33,84.67
6.97,423.0,76.14,0.33,0.0,-230.0,-276.0,-1.33,84.5
7.03,423.0,76.14,0.33,0.0,-230.0,-276.0,-1.33,84.67
7.09,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.15,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.21,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.27,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.34,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
7.4,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.46,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.52,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
7.58,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.64,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
7.7,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
7.77,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
7.83,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
7.89,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,85.0
7.95,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
8.01,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,85.0
8.07,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
8.13,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
8.19,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
8.26,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
8.32,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.38,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
8.44,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.5,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
8.56,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.62,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.69,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.75,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
8.81,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.87,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.83
8.93,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
8.99,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
9.05,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
9.11,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
9.18,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
9.24,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.5
9.3,423.0,76.14,0.33,0.0,-231.0,-277.2,-1.33,84.67
