Tempo,Pulsos Encoder Motor,Posição Angular do Motor [graus],Posição Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder Pêndulo,Posição Angular Pêndulo em [graus],Posição Angular Pêndulo [rad],Velocidade Angular do Pêndulo [rad/s]
1.0,1.0,0.18,0.0,0.0,2.0,2.4,0.0,0.0
1.0,3.0,0.54,0.0,0.0,5.0,6.0,0.0,12.67
1.03,5.0,0.9,0.0,0.0,9.0,10.8,0.0,14.5
1.09,13.0,2.34,0.0,0.0,20.0,24.0,0.0,17.33
1.14,30.0,5.4,0.0,0.0,-210.0,-252.0,249.33,38.33
1.2,61.0,10.98,0.0,0.0,-181.0,-217.2,-0.5,58.67
1.26,106.0,19.08,0.0,0.0,-146.0,-175.2,-0.5,79.83
1.32,167.0,30.06,0.0,0.0,-112.0,-134.4,-0.33,86.33
1.38,242.0,43.56,0.0,0.0,-88.0,-105.6,-0.17,99.0
1.44,325.0,58.5,0.17,0.0,-87.0,-104.4,-0.17,105.17
1.51,411.0,73.98,0.17,0.0,-116.0,-139.2,-1.0,87.5
1.57,493.0,88.74,0.17,0.0,-173.0,-207.6,-1.0,67.5
1.63,570.0,102.6,0.17,0.0,-247.0,-296.4,-1.33,47.33
1.69,640.0,115.2,0.33,0.0,-322.0,-386.4,-1.33,33.67
1.75,706.0,127.08,0.33,0.0,-376.0,-451.2,-1.33,31.5
1.82,770.0,138.6,0.5,0.0,-393.0,-471.6,-1.5,42.67
1.88,832.0,149.76,0.5,0.0,-368.0,-441.6,-1.5,65.33
1.94,891.0,160.38,0.5,0.0,-310.0,-372.0,-1.5,92.17
2.0,945.0,170.1,0.5,0.0,-237.0,-284.4,-1.5,116.0
2.07,990.0,178.2,0.83,0.0,-174.0,-208.8,-1.5,128.33
2.13,1025.0,184.5,0.83,0.0,-141.0,-169.2,-1.5,126.33
2.19,1047.0,188.46,0.83,0.0,-148.0,-177.6,-1.83,110.0
2.26,1058.0,190.44,0.83,0.0,-191.0,-229.2,-1.83,85.5
2.32,1061.0,190.98,0.83,0.0,-251.0,-301.2,-1.83,62.0
2.39,1059.0,190.62,0.83,0.0,-307.0,-368.4,-1.67,46.83
2.45,1056.0,190.08,1.0,0.0,-338.0,-405.6,-1.67,45.83
2.51,1054.0,189.72,1.0,0.0,-332.0,-398.4,-1.33,58.5
2.58,1052.0,189.36,1.0,0.0,-292.0,-350.4,-1.5,79.5
2.64,1048.0,188.64,1.0,0.0,-233.0,-279.6,-1.33,101.17
2.7,1038.0,186.84,1.0,0.0,-179.0,-214.8,-1.33,114.83
2.77,1022.0,183.96,1.0,0.0,-148.0,-177.6,-1.5,116.17
2.83,996.0,179.28,1.0,0.0,-151.0,-181.2,-1.67,104.83
2.9,964.0,173.52,1.0,0.0,-185.0,-222.0,-1.5,85.33
2.96,927.0,166.86,0.83,0.0,-236.0,-283.2,-1.67,65.67
3.02,889.0,160.02,0.83,0.0,-284.0,-340.8,-1.5,52.67
3.08,853.0,153.54,0.83,0.0,-312.0,-374.4,-1.5,51.5
3.15,820.0,147.6,0.83,0.0,-308.0,-369.6,-1.5,62.0
3.21,792.0,142.56,0.83,0.0,-275.0,-330.0,-1.33,80.0
3.27,766.0,137.88,0.83,0.0,-226.0,-271.2,-1.17,99.0
3.33,738.0,132.84,0.67,0.0,-178.0,-213.6,-1.17,111.83
3.4,709.0,127.62,0.67,0.0,-149.0,-178.8,-1.33,114.0
3.46,675.0,121.5,0.67,0.0,-148.0,-177.6,-1.5,105.17
3.52,638.0,114.84,0.67,0.0,-174.0,-208.8,-1.5,88.5
3.59,600.0,108.0,0.5,0.0,-218.0,-261.6,-1.5,70.83
3.65,563.0,101.34,0.5,0.0,-261.0,-313.2,-1.5,58.17
3.71,530.0,95.4,0.5,0.0,-289.0,-346.8,-1.5,55.17
3.77,504.0,90.72,0.5,0.0,-292.0,-350.4,-1.5,62.5
3.83,483.0,86.94,0.5,0.0,-268.0,-321.6,-1.33,77.67
3.89,468.0,84.24,0.5,0.0,-228.0,-273.6,-1.17,94.83
3.96,455.0,81.9,0.33,0.0,-186.0,-223.2,-1.17,107.67
4.02,442.0,79.56,0.33,0.0,-158.0,-189.6,-1.33,111.17
4.08,429.0,77.22,0.33,0.0,-153.0,-183.6,-1.5,105.17
4.14,415.0,74.7,0.33,0.0,-172.0,-206.4,-1.5,91.83
4.2,402.0,72.36,0.33,0.0,-208.0,-249.6,-1.5,76.33
4.27,392.0,70.56,0.33,0.0,-246.0,-295.2,-1.5,64.17
4.33,386.0,69.48,0.33,0.0,-274.0,-328.8,-1.33,59.33
4.39,385.0,69.3,0.33,0.0,-282.0,-338.4,-1.33,64.0
4.45,389.0,70.02,0.33,0.0,-270.0,-324.0,-1.33,74.83
4.51,396.0,71.28,0.33,0.0,-242.0,-290.4,-1.33,88.5
4.57,403.0,72.54,0.33,0.0,-212.0,-254.4,-1.33,99.0
4.63,410.0,73.8,0.33,0.0,-190.0,-228.0,-1.33,103.33
4.7,413.0,74.34,0.33,0.0,-185.0,-222.0,-1.33,100.17
4.76,414.0,74.52,0.33,0.0,-197.0,-236.4,-1.5,91.0
4.82,413.0,74.34,0.33,0.0,-221.0,-265.2,-1.5,80.33
4.88,412.0,74.16,0.33,0.0,-247.0,-296.4,-1.67,71.33
4.94,413.0,74.34,0.33,0.0,-267.0,-320.4,-1.5,68.0
5.0,416.0,74.88,0.33,0.0,-272.0,-326.4,-1.33,70.5
5.07,421.0,75.78,0.33,0.0,-263.0,-315.6,-1.33,78.17
5.13,427.0,76.86,0.33,0.0,-244.0,-292.8,-1.5,87.17
5.19,431.0,77.58,0.33,0.0,-223.0,-267.6,-1.33,94.5
5.25,434.0,78.12,0.33,0.0,-208.0,-249.6,-1.5,97.33
5.31,434.0,78.12,0.33,0.0,-204.0,-244.8,-1.5,95.17
5.37,432.0,77.76,0.33,0.0,-211.0,-253.2,-1.5,89.5
5.43,428.0,77.04,0.33,0.0,-225.0,-270.0,-1.5,82.33
5.49,424.0,76.32,0.33,0.0,-240.0,-288.0,-1.67,77.5
5.56,422.0,75.96,0.33,0.0,-251.0,-301.2,-1.5,75.33
5.62,422.0,75.96,0.33,0.0,-253.0,-303.6,-1.5,77.5
5.68,423.0,76.14,0.33,0.0,-246.0,-295.2,-1.5,81.83
5.74,424.0,76.32,0.33,0.0,-235.0,-282.0,-1.33,87.0
5.8,426.0,76.68,0.33,0.0,-224.0,-268.8,-1.33,90.83
5.86,426.0,76.68,0.33,0.0,-217.0,-260.4,-1.5,91.5
5.92,425.0,76.5,0.33,0.0,-216.0,-259.2,-1.5,90.17
5.99,424.0,76.32,0.33,0.0,-220.0,-264.0,-1.5,86.67
6.05,422.0,75.96,0.33,0.0,-227.0,-272.4,-1.5,83.33
6.11,421.0,75.78,0.33,0.0,-234.0,-280.8,-1.33,80.67
6.17,421.0,75.78,0.33,0.0,-239.0,-286.8,-1.5,80.0
6.23,422.0,75.96,0.33,0.0,-240.0,-288.0,-1.5,81.0
6.29,423.0,76.14,0.33,0.0,-238.0,-285.6,-1.33,83.17
