Tempo,Pulsos Encoder Motor,Posição Angular do Motor [graus],Posição Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder Pêndulo,Posição Angular Pêndulo em [graus],Posição Angular Pêndulo [rad],Velocidade Angular do Pêndulo [rad/s],PWM,Tensao
37.96,571.0,85.65,0.59,22.0,-132.0,-16.97,-0.1,-1.6,255.0,24.0
38.04,669.0,100.35,0.61,22.6,-98.0,-12.6,-0.11,8.2,255.0,24.0
38.11,750.0,112.5,0.62,18.6,-10.0,-1.29,-0.07,20.6,255.0,24.0
38.19,801.0,120.15,0.63,11.8,111.0,14.27,-0.01,28.6,255.0,24.0
38.26,812.0,121.8,0.64,2.6,238.0,30.6,0.06,29.8,255.0,24.0
38.33,774.0,116.1,0.65,-8.8,340.0,43.71,0.1,23.6,255.0,24.0
38.4,692.0,103.8,0.66,-19.2,382.0,49.11,0.11,9.4,255.0,24.0
38.48,589.0,88.35,0.66,-24.0,319.0,41.01,0.1,-15.4,255.0,24.0
38.55,483.0,72.45,0.65,-24.8,155.0,19.93,0.07,-39.0,255.0,24.0
38.62,383.0,57.45,0.62,-23.6,-58.0,-7.46,0.02,-50.6,255.0,24.0
38.7,297.0,44.55,0.58,-19.8,-258.0,-33.17,-0.01,-47.6,255.0,24.0
38.78,237.0,35.55,0.53,-14.0,-384.0,-49.37,-0.02,-30.4,255.0,24.0
38.85,210.0,31.5,0.47,-6.4,-398.0,-51.17,-0.01,-4.8,255.0,24.0
38.93,223.0,33.45,0.43,2.8,-307.0,-39.47,0.01,20.2,255.0,24.0
39.0,270.0,40.5,0.39,11.0,-139.0,-17.87,0.01,38.0,255.0,24.0
39.07,342.0,51.3,0.38,16.6,55.0,7.07,-0.0,44.2,255.0,24.0
39.14,426.0,63.9,0.38,19.2,222.0,28.54,-0.02,37.6,255.0,24.0
39.22,511.0,76.65,0.39,19.4,309.0,39.73,-0.03,19.2,255.0,24.0
39.29,585.0,87.75,0.42,17.2,295.0,37.93,-0.05,-4.0,255.0,24.0
39.36,629.0,94.35,0.45,10.4,211.0,27.13,-0.04,-20.0,255.0,24.0
39.44,631.0,94.65,0.47,0.6,104.0,13.37,-0.02,-25.6,255.0,24.0
39.51,596.0,89.4,0.49,-8.0,5.0,0.64,0.03,-23.6,255.0,24.0
39.58,538.0,80.7,0.5,-13.4,-69.0,-8.87,0.07,-17.6,255.0,24.0
